Calc. Date= 11-10-2019, Time= 00:15:11
============================== SRIM-2013.00 ==============================
 =====================================================================
 =                   Ion Energy vs Position File                     =
 =====================================================================
 =   AXIS DEFINITIONS: X=Depth, Y,Z= Lateral plane of target surface.=
 =   (If beam enters target at an angle, this tilt is in Y direction)=
 =   Shown are: Ion Number, Energy (keV), X, Y, Z Position           =
 ==================  CALCULATION   DATA  =============================
  Ion Data: Name, Mass,   Energy , Energy Interval
            O     018.00  130000keV    1000000eV
 =====================================================================
Ion       Energy     Depth (X)     Y           Z       Electronic   Energy Lost to
Number    (keV)    (Angstrom)  (Angstrom)  (Angstrom)  Stop.(eV/A)  Last Recoil(eV)
------- ----------- ---------- ----------- ----------- -----------  ---------------
0000002 1.1097E+05  7.0517E+04  2.2426E+02  1.0342E+02  2.7986E+02  5.2109E+01
0000002 1.0990E+05  7.4169E+04  2.9793E+02  1.4978E+02  2.8119E+02  4.7046E+00
0000002 1.0892E+05  7.7799E+04  3.6668E+02  1.9122E+02  2.8243E+02  4.3707E+01
0000002 1.0794E+05  8.1408E+04  4.1738E+02  2.2775E+02  2.8369E+02  8.4741E+00
0000002 1.0688E+05  8.4995E+04  4.5998E+02  2.6123E+02  2.8506E+02  5.5338E+00
0000002 1.0586E+05  8.8560E+04  5.0413E+02  2.9414E+02  2.8638E+02  5.9953E+02
0000002 1.0498E+05  9.1396E+04  5.5837E+02  3.0731E+02  2.8755E+02  8.1192E+00
0000002 1.0382E+05  9.5622E+04  6.4435E+02  3.1780E+02  2.8910E+02  7.0503E+00
0000002 1.0286E+05  9.9121E+04  7.2619E+02  3.2712E+02  2.9040E+02  4.2136E+00
0000002 1.0186E+05  1.0260E+05  8.0913E+02  3.4456E+02  2.9177E+02  1.4336E+01
0000002 1.0089E+05  1.0605E+05  9.3970E+02  3.5973E+02  2.9312E+02  2.2838E+01
0000002 9.9896E+04  1.0948E+05  1.0821E+03  3.8036E+02  2.9450E+02  5.0594E+00
0000002 9.8899E+04  1.1290E+05  1.2192E+03  4.0615E+02  2.9592E+02  1.3813E+01
0000002 9.7911E+04  1.1628E+05  1.3564E+03  4.4767E+02  2.9733E+02  6.2587E+00
0000002 9.6769E+04  1.2032E+05  1.5123E+03  4.9820E+02  2.9899E+02  3.9559E+00
0000002 9.5920E+04  1.2300E+05  1.6195E+03  5.3260E+02  3.0024E+02  8.2909E+00
0000002 9.4883E+04  1.2632E+05  1.7769E+03  5.8992E+02  3.0178E+02  8.4267E+00
0000002 9.3991E+04  1.2896E+05  1.8996E+03  6.4850E+02  3.0312E+02  3.9508E+00
0000002 9.2948E+04  1.3223E+05  2.0568E+03  7.2139E+02  3.0470E+02  1.1603E+01
0000002 9.1947E+04  1.3549E+05  2.2171E+03  7.9924E+02  3.0625E+02  1.6317E+01
0000002 9.0920E+04  1.3872E+05  2.3819E+03  8.7773E+02  3.0785E+02  2.8707E+01
0000002 8.9900E+04  1.4193E+05  2.5418E+03  9.5101E+02  3.0946E+02  1.1011E+01
0000002 8.8828E+04  1.4511E+05  2.7085E+03  1.0237E+03  3.1118E+02  5.5162E+00
0000002 8.7901E+04  1.4827E+05  2.8759E+03  1.0900E+03  3.1267E+02  1.1031E+01
0000002 8.6791E+04  1.5141E+05  3.0441E+03  1.1496E+03  3.1450E+02  4.5510E+02
0000002 8.5866E+04  1.5452E+05  3.2003E+03  1.1972E+03  3.1603E+02  1.4514E+01
0000002 8.4907E+04  1.5762E+05  3.3596E+03  1.2545E+03  3.1765E+02  8.0337E+01
0000002 8.3913E+04  1.6069E+05  3.5247E+03  1.2967E+03  3.1934E+02  1.0137E+02
0000002 8.2964E+04  1.6373E+05  3.7087E+03  1.3298E+03  3.2097E+02  4.6113E+00
0000002 8.1960E+04  1.6676E+05  3.8851E+03  1.3706E+03  3.2273E+02  8.3347E+00
0000002 8.0835E+04  1.7036E+05  4.1100E+03  1.4323E+03  3.2473E+02  9.4840E+01
0000002 7.9952E+04  1.7333E+05  4.2948E+03  1.4777E+03  3.2630E+02  4.4321E+00
0000002 7.8823E+04  1.7688E+05  4.4986E+03  1.5381E+03  3.2836E+02  1.4527E+01
0000002 7.7816E+04  1.7980E+05  4.6673E+03  1.5952E+03  3.3022E+02  1.6419E+01
0000002 7.6801E+04  1.8271E+05  4.8378E+03  1.6536E+03  3.3211E+02  3.1741E+02
0000002 7.5840E+04  1.8559E+05  4.9873E+03  1.7086E+03  3.3393E+02  1.1839E+01
0000002 7.4880E+04  1.8844E+05  5.1296E+03  1.7793E+03  3.3577E+02  3.3349E+01
0000002 7.3844E+04  1.9128E+05  5.2738E+03  1.8617E+03  3.3778E+02  2.6524E+01
0000002 7.2931E+04  1.9409E+05  5.4057E+03  1.9392E+03  3.3957E+02  1.1074E+01
0000002 7.1971E+04  1.9688E+05  5.5302E+03  2.0079E+03  3.4149E+02  1.6003E+02
0000002 7.0980E+04  1.9964E+05  5.6675E+03  2.0812E+03  3.4349E+02  5.3882E+00
0000002 6.9840E+04  2.0293E+05  5.8487E+03  2.1759E+03  3.4582E+02  3.5026E+01
0000002 6.8969E+04  2.0564E+05  6.0150E+03  2.2467E+03  3.4762E+02  2.0114E+01
0000002 6.7949E+04  2.0833E+05  6.1776E+03  2.3194E+03  3.4976E+02  6.7726E+00
0000002 6.6937E+04  2.1099E+05  6.3497E+03  2.3950E+03  3.5192E+02  1.3920E+01
0000002 6.5900E+04  2.1416E+05  6.5570E+03  2.4838E+03  3.5415E+02  3.2896E+02
0000002 6.4848E+04  2.1729E+05  6.7248E+03  2.5935E+03  3.5645E+02  1.2678E+01
0000002 6.3939E+04  2.1988E+05  6.8588E+03  2.6904E+03  3.5846E+02  8.0415E+01
0000002 6.2848E+04  2.2296E+05  7.0025E+03  2.7974E+03  3.6091E+02  5.6930E+00
0000002 6.1941E+04  2.2550E+05  7.1279E+03  2.8953E+03  3.6298E+02  4.4533E+01
0000002 6.0833E+04  2.2851E+05  7.2740E+03  3.0238E+03  3.6553E+02  1.1294E+01
0000002 5.9908E+04  2.3100E+05  7.3895E+03  3.1228E+03  3.6769E+02  4.2303E+00
0000002 5.8812E+04  2.3395E+05  7.5296E+03  3.2434E+03  3.7028E+02  5.2683E+00
0000002 5.7923E+04  2.3639E+05  7.6410E+03  3.3474E+03  3.7241E+02  4.6412E+01
0000002 5.6858E+04  2.3928E+05  7.7801E+03  3.4821E+03  3.7499E+02  1.2082E+01
0000002 5.5916E+04  2.4166E+05  7.9037E+03  3.5846E+03  3.7730E+02  7.5020E+00
0000002 5.4895E+04  2.4449E+05  8.0527E+03  3.6959E+03  3.7984E+02  1.4455E+01
0000002 5.3980E+04  2.4683E+05  8.1676E+03  3.7874E+03  3.8214E+02  5.3900E+00
0000002 5.2925E+04  2.4959E+05  8.3014E+03  3.8930E+03  3.8482E+02  4.0660E+00
0000002 5.1884E+04  2.5233E+05  8.4403E+03  3.9970E+03  3.8750E+02  7.2132E+00
0000002 5.0854E+04  2.5503E+05  8.5702E+03  4.1036E+03  3.9019E+02  6.3293E+00
0000002 4.9952E+04  2.5726E+05  8.6574E+03  4.1990E+03  3.9256E+02  3.6544E+01
0000002 4.8986E+04  2.5989E+05  8.7655E+03  4.3120E+03  3.9513E+02  2.0389E+01
0000002 4.7922E+04  2.6250E+05  8.8662E+03  4.4411E+03  3.9799E+02  5.3813E+01
0000002 4.6894E+04  2.6507E+05  8.9553E+03  4.5637E+03  4.0078E+02  4.6235E+01
0000002 4.5912E+04  2.6761E+05  9.0302E+03  4.6806E+03  4.0347E+02  6.3684E+00
0000002 4.4919E+04  2.7012E+05  9.1115E+03  4.8069E+03  4.0621E+02  1.0166E+01
0000002 4.3901E+04  2.7259E+05  9.2395E+03  4.9515E+03  4.0905E+02  1.2198E+01
0000002 4.2841E+04  2.7502E+05  9.3641E+03  5.0974E+03  4.1214E+02  8.3880E+00
0000002 4.1838E+04  2.7742E+05  9.4885E+03  5.2301E+03  4.1523E+02  1.1749E+02
0000002 4.0994E+04  2.7939E+05  9.5835E+03  5.3389E+03  4.1771E+02  4.3299E+00
0000002 3.9998E+04  2.8173E+05  9.7000E+03  5.4751E+03  4.2051E+02  1.0393E+01
0000002 3.8928E+04  2.8441E+05  9.8441E+03  5.6327E+03  4.2330E+02  1.3296E+01
0000002 3.7937E+04  2.8668E+05  9.9645E+03  5.7563E+03  4.2573E+02  8.1325E+01
0000002 3.6943E+04  2.8890E+05  1.0095E+04  5.8753E+03  4.2797E+02  5.5020E+00
0000002 3.5907E+04  2.9146E+05  1.0256E+04  6.0050E+03  4.3028E+02  1.9631E+01
0000002 3.4912E+04  2.9397E+05  1.0426E+04  6.1276E+03  4.3311E+02  7.6076E+00
0000002 3.3963E+04  2.9609E+05  1.0569E+04  6.2419E+03  4.3591E+02  6.0648E+01
0000002 3.2960E+04  2.9851E+05  1.0741E+04  6.4028E+03  4.3886E+02  4.7311E+00
0000002 3.1969E+04  3.0089E+05  1.0902E+04  6.5752E+03  4.4179E+02  1.0511E+01
